name,coordinates_latitude,coordinates_longitude,rating,url
Happy Lemon,33.8894408,-118.3058063,4,https://www.yelp.com/biz/happy-lemon-gardena-7?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Oko Cafe,33.88883593,-118.3042187,3.5,https://www.yelp.com/biz/oko-cafe-gardena-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
It's Boba Time,34.06339253,-118.2972009,4,https://www.yelp.com/biz/its-boba-time-los-angeles-8?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Cup O' Joy,34.02452331,-118.2780342,3.5,https://www.yelp.com/biz/cup-o-joy-los-angeles?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tea Station,33.88867138,-118.3042177,3,https://www.yelp.com/biz/tea-station-gardena?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Honeyboba,33.872464,-118.303115,3,https://www.yelp.com/biz/honeyboba-gardena-4?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea,34.05844,-118.3087,4.5,https://www.yelp.com/biz/kung-fu-tea-los-angeles?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Juice N Fruits,34.02704358,-118.2916829,4.5,https://www.yelp.com/biz/juice-n-fruits-los-angeles-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Lee's BBQ & Boba,33.9624091,-118.1859293,4.5,https://www.yelp.com/biz/lees-bbq-and-boba-cudahy?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Ding Tea Gardena,33.891755,-118.3090151,4.5,https://www.yelp.com/biz/ding-tea-gardena-gardena-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
BAMBU,33.89118,-118.30871,4.5,https://www.yelp.com/biz/bambu-gardena-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Twinkle Brown Sugar,34.04839948,-118.2393995,4,https://www.yelp.com/biz/twinkle-brown-sugar-los-angeles-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
MILK+T,34.0490233,-118.2415817,4.5,https://www.yelp.com/biz/milk-t-los-angeles-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Happy Lemon,33.8894408,-118.3058063,4,https://www.yelp.com/biz/happy-lemon-gardena-7?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Oko Cafe,33.88883593,-118.3042187,3.5,https://www.yelp.com/biz/oko-cafe-gardena-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Twinkle Brown Sugar,33.98833581,-118.2249358,4.5,https://www.yelp.com/biz/twinkle-brown-sugar-huntington-park?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tea Station,33.88867138,-118.3042177,3,https://www.yelp.com/biz/tea-station-gardena?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Iceland Hawaiian Shaved Ice,33.9873884,-118.224671,4.5,https://www.yelp.com/biz/iceland-hawaiian-shaved-ice-huntington-park?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
It's Boba Time,34.059613,-118.292185,4,https://www.yelp.com/biz/its-boba-time-los-angeles-9?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Cup O' Joy,34.02452331,-118.2780342,3.5,https://www.yelp.com/biz/cup-o-joy-los-angeles?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Honeyboba,33.872464,-118.303115,3,https://www.yelp.com/biz/honeyboba-gardena-4?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Little Fluffy Head Cafe,34.0447553,-118.2523943,4.5,https://www.yelp.com/biz/little-fluffy-head-cafe-los-angeles?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Bubble U,34.0633996,-118.2379715,4.5,https://www.yelp.com/biz/bubble-u-los-angeles-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Toastea,34.04759799,-118.2572756,4.5,https://www.yelp.com/biz/toastea-los-angeles?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
It's Boba Time,34.06339253,-118.2972009,4,https://www.yelp.com/biz/its-boba-time-los-angeles-8?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
